cloneid_geno,batch,SC_group,treatment,height,,,batch,cluster,treatment,# clones tested,,,As,3.8,Os,3.8,,
Spring_2016_D8_8.29,batch1,O,0,0.256268171,,,1,cluster A,control,0,,,0,,,,,20 batches
April_2017_D8_135,batch10,A,0,0.248963024,,,,,predation,0,,,0,,1,,,105 clones
April_2017_D8_141,batch10,A,0,0.234444756,,,,cluster O,control ,1,,,,,0,,,2 treatments
April_2017_D8_183,batch10,A,0,0.258481981,,,,,predation,0,,,0,,,,,4 per each clonal cluster
April_2017_D8_202,batch10,A,0,0.242264312,,,2,cluster A,control,0,,,0,,0,,,
April_2017_D8_211,batch10,A,0,0.23839657,,,,,predation,0,,,,,0,,,
April_2017_D8_60,batch10,A,0,0.247554127,,,,cluster O,control ,0,,,0,,,,,
May_2017_D8_521,batch10,A,0,0.251276574,,,,,predation,0,,,0,,0,,,
May_2017_D8_539,batch10,A,0,0.24631718,,,3,cluster A,control,0,,,,,0,,,
May_2017_D8_542,batch10,A,0,0.238052362,,,,,predation,0,,,0,,,,,
April_2017_D8_135,batch10,A,0.5,0.258061009,,,,cluster O,control ,0,,,0,,1,,,
April_2017_D8_141,batch10,A,0.5,0.270536852,,,,,predation,0,,,,,1,,,
April_2017_D8_183,batch10,A,0.5,0.248587864,,,4,cluster A,control,0,,,5,,,,,
April_2017_D8_202,batch10,A,0.5,0.24200816,,,,,predation,0,,,5,,0,,,
April_2017_D8_211,batch10,A,0.5,0.261506416,,,,cluster O,control ,1,,,,,3,,,
April_2017_D8_60,batch10,A,0.5,0.267947073,,,,,predation,1,,,3,,,,,
May_2017_D8_521,batch10,A,0.5,0.255934994,,,5,cluster A,control,5,,,0,,2,,,
May_2017_D8_539,batch10,A,0.5,0.266889938,,,,,predation,5,,,,,0,,,
May_2017_D8_542,batch10,A,0.5,0.25572803,,,,cluster O,control ,0,,,3,,,,,
April_2017_DBunk_131,batch10,O,0,0.271375687,,,,,predation,3,,,3,,5,,,
April_2017_DBunk_132,batch10,O,0,0.254440679,,,6,cluster A,control,3,,,,,6,,,
April_2017_DBunk_160,batch10,O,0,0.249568238,,,,,predation,0,,,10,,,,,
April_2017_DBunk_248,batch10,O,0,0.242899164,,,,cluster O,control ,2,,,12,,5,,,
April_2017_DBunk_297,batch10,O,0,0.247486205,,,,,predation,0,,,,,6,,,
April_2017_DBunk_302,batch10,O,0,0.245920424,,,7,cluster A,control,3,,,7,,,,,
April_2017_DBunk_6,batch10,O,0,0.231605764,,,,,predation,3,,,7,,6,,,
May_2017_D8_544,batch10,O,0,0.257555386,,,,cluster O,control ,5,,,,,6,,,
April_2017_DBunk_160,batch10,O,0.5,0.273304579,,,,,predation,6,,,9,,,,,
April_2017_DBunk_248,batch10,O,0.5,0.271045106,,,8,cluster A,control,10,,,9,,8,,,
April_2017_DBunk_297,batch10,O,0.5,0.274552246,,,,,predation,12,,,,,6,,,
April_2017_DBunk_302,batch10,O,0.5,0.273921822,,,,cluster O,control ,5,,,6,,,,,
April_2017_DBunk_6,batch10,O,0.5,0.266600395,,,,,predation,6,,,5,,2,,,
May_2017_D8_544,batch10,O,0.5,0.265342883,,,9,cluster A,control,7,,,,,1,,,
April_2017_D8_157,batch11,A,0,0.246718334,,,,,predation,7,,,9,,,,,
April_2017_D8_183,batch11,A,0,0.240977734,,,,cluster O,control ,6,,,9,,4,,,
April_2017_D8_191,batch11,A,0,0.229114002,,,,,predation,6,,,,,3,,,
April_2017_D8_213,batch11,A,0,0.248262895,,,10,cluster A,control,9,,,12,,,,,
April_2017_D8_223,batch11,A,0,0.253446783,,,,,predation,9,,,13,,7,,,
May_2017_D8_520,batch11,A,0,0.241690206,,,,cluster O,control ,8,,,,,5,,,
April_2017_D8_157,batch11,A,0.5,0.257865995,,,,,predation,6,,,3,,,,,
April_2017_D8_213,batch11,A,0.5,0.262145861,,,11,cluster A,control,6,,,5,,2,,,
April_2017_D8_223,batch11,A,0.5,0.259426109,,,,,predation,5,,,,,3,,,
April_2017_D8_399,batch11,A,0.5,0.254830474,,,,cluster O,control ,2,,,2,,,,,
May_2017_D8_520,batch11,A,0.5,0.268544257,,,,,predation,1,,,3,,2,,,
April_2017_DBunk_132,batch11,O,0,0.248683507,,,12,cluster A,control,9,,,,,2,,,
April_2017_DBunk_254,batch11,O,0,0.28077028,,,,,predation,9,,,4,,,,,
April_2017_DBunk_254,batch11,O,0.5,0.278538754,,,,cluster O,control ,4,,,4,,4,,,
April_2017_D8_135,batch12,A,0,0.234573525,,,,,predation,3,,,,,2,,,
April_2017_D8_201,batch12,A,0,0.246660804,,,13,cluster A,control,12,,,1,,,,,
April_2017_D8_227,batch12,A,0,0.257073165,,,,,predation,13,,,1,,10,,,
April_2017_D8_256,batch12,A,0,0.24138901,,,,cluster O,control ,7,,,,,12,,,
Spring_2017_D8_262,batch12,A,0,0.237968391,,,,,predation,5,,,1,,,,,
Spring_2017_D8_294,batch12,A,0,0.241443288,,,14,cluster A,control,3,,,1,,7,,,
Spring_2017_D8_329,batch12,A,0,0.244972541,,,,,predation,5,,,,,7,,,
Spring_2017_D8_343,batch12,A,0,0.239520227,,,,cluster O,control ,2,,,0,,,,,
Spring_2017_D8_366,batch12,A,0,0.248767144,,,,,predation,3,,,0,,3,,,
April_2017_D8_135,batch12,A,0.5,0.265096294,,,15,cluster A,control,2,,,,,3,,,
April_2017_D8_201,batch12,A,0.5,0.2711703,,,,,predation,3,,,0,,,,,
April_2017_D8_227,batch12,A,0.5,0.274807155,,,,cluster O,control ,2,,,0,,1,,,
April_2017_D8_256,batch12,A,0.5,0.257313751,,,,,predation,2,,,,,2,,,
Spring_2017_D8_262,batch12,A,0.5,0.26182554,,,16,cluster A,control,4,,,,,,,,
Spring_2017_D8_294,batch12,A,0.5,0.2587997,,,,,predation,4,,,,,,,,
Spring_2017_D8_329,batch12,A,0.5,0.238915288,,,,cluster O,control ,4,,,,,,,,
Spring_2017_D8_343,batch12,A,0.5,0.257533759,,,,,predation,2,,,,,,,,
Spring_2017_D8_366,batch12,A,0.5,0.272550441,,,17,cluster A,control,1,,,,,,,,
April_2017_D8_137,batch12,O,0,0.257228563,,,,,predation,1,,,,,,,,
April_2017_DBunk_90,batch12,O,0,0.250688151,,,,cluster O,control ,10,,,,,,,,
Spring_2017_D8_336,batch12,O,0,0.267197831,,,,,predation,12,,,,,,,,
Spring_2017_DBunk_122,batch12,O,0,0.243935038,,,18,cluster A,control,1,,,,,,,,
April_2017_DBunk_131,batch12,O,0.5,0.272669316,,,,,predation,1,,,,,,,,
Spring_2017_D8_336,batch12,O,0.5,0.26575476,,,,cluster O,control ,7,,,,,,,,
Spring_2017_DBunk_122,batch12,O,0.5,0.264735964,,,,,predation,7,,,,,,,,
April_2017_D8_191,batch13,A,0,0.261097213,,,19,cluster A,control,0,,,,,,,,
April_2017_D8_248,batch13,A,0,0.244827947,,,,,predation,0,,,,,,,,
April_2017_D8_338,batch13,A,0,0.235155647,,,,cluster O,control ,3,,,,,,,,
April_2017_D8_399,batch13,A,0,0.238672872,,,,,predation,3,,,,,,,,
May_2017_D8_532,batch13,A,0,0.245292099,,,20,cluster A,control,0,,,,,,,,
May_2017_D8_612,batch13,A,0,0.247243533,,,,,predation,0,,,,,,,,
May_2017_D8_668,batch13,A,0,0.252609348,,,,cluster O,control ,1,,,,,,,,
May_2017_D8_673,batch13,A,0,0.238083921,,,,,predation,2,,,,,,,,
May_2017_D8_776,batch13,A,0,0.237277065,,,,,,,,,,,,,,
Spring_2017_D8_282,batch13,A,0,0.240659398,,,,,,,,,,,,,,
Spring_2017_D8_327,batch13,A,0,0.233982968,,,,,,,,,,,,,,
Spring_2017_D8_339,batch13,A,0,0.242294686,,,,,,,,,,,,,,
April_2017_D8_183,batch13,A,0.5,0.259021769,,,,,,,,,,,,,,
April_2017_D8_191,batch13,A,0.5,0.255763573,,,,,,,,,,,,,,
April_2017_D8_248,batch13,A,0.5,0.253378335,,,,,,,,,,,,,,
April_2017_D8_338,batch13,A,0.5,0.25138039,,,,,,,,,,,,,,
April_2017_D8_399,batch13,A,0.5,0.257924465,,,,,,,,,,,,,,
May_2017_D8_532,batch13,A,0.5,0.264720213,,,,,,,,,,,,,,
May_2017_D8_612,batch13,A,0.5,0.263122247,,,,,,,,,,,,,,
May_2017_D8_668,batch13,A,0.5,0.243624703,,,,,,,,,,,,,,
May_2017_D8_673,batch13,A,0.5,0.259327238,,,,,,,,,,,,,,
May_2017_D8_776,batch13,A,0.5,0.240122575,,,,,,,,,,,,,,
Spring_2017_D8_282,batch13,A,0.5,0.277025208,,,,,,,,,,,,,,
Spring_2017_D8_327,batch13,A,0.5,0.259034755,,,,,,,,,,,,,,
Spring_2017_D8_339,batch13,A,0.5,0.247617718,,,,,,,,,,,,,,
April_2017_DBunk_119,batch13,O,0,0.250392116,,,,,,,,,,,,,,
April_2017_DBunk_13,batch13,O,0,0.262473598,,,,,,,,,,,,,,
April_2017_DBunk_90,batch13,O,0,0.26244172,,,,,,,,,,,,,,
May_2017_D8_731,batch13,O,0,0.254589737,,,,,,,,,,,,,,
May_2017_DBunk_523,batch13,O,0,0.258092906,,,,,,,,,,,,,,
Spring_2017_DBunk_321,batch13,O,0,0.235318757,,,,,,,,,,,,,,
Spring_2017_DBunk_367,batch13,O,0,0.238217433,,,,,,,,,,,,,,
April_2017_DBunk_119,batch13,O,0.5,0.243123121,,,,,,,,,,,,,,
April_2017_DBunk_13,batch13,O,0.5,0.27737331,,,,,,,,,,,,,,
May_2017_D8_731,batch13,O,0.5,0.259823169,,,,,,,,,,,,,,
May_2017_DBunk_523,batch13,O,0.5,0.273848835,,,,,,,,,,,,,,
Spring_2017_DBunk_367,batch13,O,0.5,0.256271791,,,,,,,,,,,,,,
April_2017_D8_183,batch14,A,0,0.241554175,,,,,,,,,,,,,,
April_2017_D8_254,batch14,A,0,0.251453098,,,,,,,,,,,,,,
April_2017_D8_298,batch14,A,0,0.250266464,,,,,,,,,,,,,,
April_2017_D8_254,batch14,A,0.5,0.281910965,,,,,,,,,,,,,,
