Batch	Cluster	Treatment	NoClonesTested
1	cluster A	control	0
1	cluster A	predation	0
1	cluster O	control	1
1	cluster O	predation	0
2	cluster A	control	0
2	cluster A	predation	0
2	cluster O	control	0
2	cluster O	predation	0
3	cluster A	control	0
3	cluster A	predation	0
3	cluster O	control	0
3	cluster O	predation	0
4	cluster A	control	0
4	cluster A	predation	0
4	cluster O	control	1
4	cluster O	predation	1
5	cluster A	control	5
5	cluster A	predation	5
5	cluster O	control	0
5	cluster O	predation	3
6	cluster A	control	3
6	cluster A	predation	0
6	cluster O	control	2
6	cluster O	predation	0
7	cluster A	control	3
7	cluster A	predation	3
7	cluster O	control	5
7	cluster O	predation	6
8	cluster A	control	10
8	cluster A	predation	12
8	cluster O	control	5
8	cluster O	predation	6
9	cluster A	control	7
9	cluster A	predation	7
9	cluster O	control	6
9	cluster O	predation	6
10	cluster A	control	9
10	cluster A	predation	9
10	cluster O	control	8
10	cluster O	predation	6
11	cluster A	control	6
11	cluster A	predation	5
11	cluster O	control	2
11	cluster O	predation	1
12	cluster A	control	9
12	cluster A	predation	9
12	cluster O	control	4
12	cluster O	predation	3
13	cluster A	control	12
13	cluster A	predation	13
13	cluster O	control	7
13	cluster O	predation	5
14	cluster A	control	3
14	cluster A	predation	5
14	cluster O	control	2
14	cluster O	predation	3
15	cluster A	control	2
15	cluster A	predation	3
15	cluster O	control	2
15	cluster O	predation	2
16	cluster A	control	4
16	cluster A	predation	4
16	cluster O	control	4
16	cluster O	predation	2
17	cluster A	control	1
17	cluster A	predation	1
17	cluster O	control	10
17	cluster O	predation	12
18	cluster A	control	1
18	cluster A	predation	1
18	cluster O	control	7
18	cluster O	predation	7
19	cluster A	control	0
19	cluster A	predation	0
19	cluster O	control	3
19	cluster O	predation	3
20	cluster A	control	0
20	cluster A	predation	0
20	cluster O	control	1
20	cluster O	predation	2
