clone ID,pond,cluster,season
April_2017_D8_101,D8,O,Spring 2017
April_2017_D8_103,D8,A,Spring 2017
April_2017_D8_119,D8,A,Spring 2017
April_2017_D8_134,D8,O,Spring 2017
April_2017_D8_135,D8,A,Spring 2017
April_2017_D8_136,D8,A,Spring 2017
April_2017_D8_137,D8,O,Spring 2017
April_2017_D8_141,D8,A,Spring 2017
April_2017_D8_142,D8,A,Spring 2017
April_2017_D8_147,D8,A,Spring 2017
April_2017_D8_151,D8,O,Spring 2017
April_2017_D8_157,D8,A,Spring 2017
April_2017_D8_175,D8,A,Spring 2017
April_2017_D8_179,D8,A,Spring 2017
April_2017_D8_183,D8,A,Spring 2017
April_2017_D8_191,D8,A,Spring 2017
April_2017_D8_201,D8,A,Spring 2017
April_2017_D8_202,D8,A,Spring 2017
April_2017_D8_203,D8,A,Spring 2017
April_2017_D8_209,D8,A,Spring 2017
April_2017_D8_211,D8,A,Spring 2017
April_2017_D8_213,D8,A,Spring 2017
April_2017_D8_215,D8,A,Spring 2017
April_2017_D8_223,D8,A,Spring 2017
April_2017_D8_227,D8,A,Spring 2017
April_2017_D8_248,D8,A,Spring 2017
April_2017_D8_254,D8,A,Spring 2017
April_2017_D8_256,D8,A,Spring 2017
April_2017_D8_298,D8,A,Spring 2017
April_2017_D8_338,D8,A,Spring 2017
April_2017_D8_342,D8,A,Spring 2017
April_2017_D8_349,D8,A,Spring 2017
April_2017_D8_360,D8,A,Spring 2017
April_2017_D8_399,D8,A,Spring 2017
April_2017_D8_60,D8,A,Spring 2017
April_2017_D8_77,D8,A,Spring 2017
April_2017_DBunk_112,DBunk,O,Spring 2017
April_2017_DBunk_119,DBunk,O,Spring 2017
April_2017_DBunk_13,DBunk,O,Spring 2017
April_2017_DBunk_131,DBunk,O,Spring 2017
April_2017_DBunk_132,DBunk,O,Spring 2017
April_2017_DBunk_160,DBunk,O,Spring 2017
April_2017_DBunk_248,DBunk,O,Spring 2017
April_2017_DBunk_254,DBunk,O,Spring 2017
April_2017_DBunk_26,DBunk,A,Spring 2017
April_2017_DBunk_297,DBunk,O,Spring 2017
April_2017_DBunk_302,DBunk,O,Spring 2017
April_2017_DBunk_36,DBunk,O,Spring 2017
April_2017_DBunk_6,DBunk,O,Spring 2017
April_2017_DBunk_63,DBunk,O,Spring 2017
April_2017_DBunk_9,DBunk,O,Spring 2017
April_2017_DBunk_90,DBunk,O,Spring 2017
April_2017_DBunk_91,DBunk,O,Spring 2017
May_2017_D8_520,D8,A,Spring 2017
May_2017_D8_521,D8,A,Spring 2017
May_2017_D8_532,D8,A,Spring 2017
May_2017_D8_538,D8,O,Spring 2017
May_2017_D8_539,D8,A,Spring 2017
May_2017_D8_542,D8,A,Spring 2017
May_2017_D8_544,D8,O,Spring 2017
May_2017_D8_612,D8,A,Spring 2017
May_2017_D8_663,D8,A,Spring 2017
May_2017_D8_668,D8,A,Spring 2017
May_2017_D8_673,D8,A,Spring 2017
May_2017_D8_731,D8,O,Spring 2017
May_2017_D8_756,D8,A,Spring 2017
May_2017_D8_771,D8,A,Spring 2017
May_2017_D8_776,D8,A,Spring 2017
May_2017_DBunk_514,DBunk,O,Spring 2017
May_2017_DBunk_523,DBunk,O,Spring 2017
May_2017_DBunk_525,DBunk,O,Spring 2017
May_2017_DBunk_547,DBunk,O,Spring 2017
May_2017_DBunk_558,DBunk,O,Spring 2017
May_2017_DBunk_579,DBunk,O,Spring 2017
May_2017_DBunk_590,DBunk,O,Spring 2017
May_2017_DBunk_591,DBunk,O,Spring 2017
May_2017_DBunk_594,DBunk,A,Spring 2017
Spring_2016_D8_8.29,D8,O,Spring 2016
Spring_2016_D8_8.31,D8,O,Spring 2016
Spring_2017_D8_225,D8,A,Spring 2017
Spring_2017_D8_262,D8,A,Spring 2017
Spring_2017_D8_282,D8,A,Spring 2017
Spring_2017_D8_294,D8,A,Spring 2017
Spring_2017_D8_327,D8,A,Spring 2017
Spring_2017_D8_329,D8,A,Spring 2017
Spring_2017_D8_336,D8,O,Spring 2017
Spring_2017_D8_339,D8,A,Spring 2017
Spring_2017_D8_343,D8,A,Spring 2017
Spring_2017_D8_350,D8,A,Spring 2017
Spring_2017_D8_366,D8,A,Spring 2017
Spring_2017_DBunk_122,DBunk,O,Spring 2017
Spring_2017_DBunk_143,DBunk,O,Spring 2017
Spring_2017_DBunk_217,DBunk,O,Spring 2017
Spring_2017_DBunk_242,DBunk,O,Spring 2017
Spring_2017_DBunk_252,DBunk,O,Spring 2017
Spring_2017_DBunk_260,DBunk,O,Spring 2017
Spring_2017_DBunk_321,DBunk,O,Spring 2017
Spring_2017_DBunk_338,DBunk,O,Spring 2017
Spring_2017_DBunk_347,DBunk,O,Spring 2017
Spring_2017_DBunk_360,DBunk,O,Spring 2017
Spring_2017_DBunk_363,DBunk,O,Spring 2017
Spring_2017_DBunk_367,DBunk,O,Spring 2017
Spring_2017_DBunk_378,DBunk,O,Spring 2017
Spring_2017_DBunk_387,DBunk,O,Spring 2017
Spring_2017_DBunk_73,DBunk,O,Spring 2017
